13.10.2011	14:15	starting grid															
3215682304																	
time	x	theta	radius	set angle	yaw angle	pitch angle	Ptot	Pstat	Ma	Patm	yaw out of range	pitch out of range	P1	P2	P3	P4	P5
3215683361	0	5	57.5	0	-4.471737	0.593209	96157.79818	95811.52341	0.071808	96023.97521	0	0	96168.61274	96016.98091	95947.15953	95919.71174	96018.82945
3215683372	0	5	63	0	-5.878252	-1.575134	96198.70774	95766.38798	0.080241	96023.21784	0	0	96212.0827	96053.83307	95932.04647	95915.73328	95986.90609
3215683383	0	5	68.5	0	-8.512104	-1.933811	96202.76419	95778.082	0.079526	96023.06247	0	0	96212.7309	96076.45422	95893.9751	95935.72636	95998.95477
3215683394	0	5	74	0	-9.036166	-0.411198	96212.06372	95749.56834	0.082997	96020.90915	0	0	96220.92684	96102.03207	95890.67777	95874.62634	95984.16795
3215683405	0	5	79.5	0	-10.349824	-1.446827	96221.43754	95740.91133	0.0846	96022.0168	0	0	96228.37474	96107.24131	95851.18204	95898.20191	95984.28388
3215683416	0	5	85	0	-9.793804	-0.257199	96195.64189	95777.86303	0.078878	96021.22068	0	0	96202.04479	96088.58277	95879.97456	95901.79329	96004.94524
3215683427	0	5	90.5	0	-10.549006	0.175257	96185.47262	95799.7368	0.075788	96019.81223	0	0	96189.48668	96099.34191	95890.69237	95900.51313	96005.8252
3215683438	0	5	96	0	-7.586684	-1.74912	96202.09282	95695.44618	0.086886	96017.78269	0	0	96215.52199	96039.47411	95848.28506	95883.59247	95963.57584
3215683449	0	5	101.5	0	-10.60378	0.569382	96097.93355	95778.85794	0.068945	96017.98832	0	0	96100.87772	96021.46785	95848.16694	95863.32992	95957.79081
3215683460	0	5	107	0	-5.574346	-0.331213	96076.78915	95744.41525	0.070378	96018.77292	0	0	96086.83129	95953.47186	95865.873	95855.13199	95933.23131
3215683471	0	5	112.5	0	-2.700404	-0.075709	96019.38958	95777.33951	0.060059	96017.09366	0	0	96027.72186	95912.8047	95887.39047	95856.76238	95915.75672
3215683527	0	6	30	0	-2.702149	0.881087	96089.62638	95761.9308	0.069875	96013.59328	0	0	96100.5645	95948.56987	95914.45824	95855.18072	95953.28192
3215683538	0	6	35.5	0	-3.736333	-5.628183	96086.69624	95780.12251	0.067582	96014.10349	0	0	96097.92183	95968.3158	95917.51804	95925.73628	95907.39876
3215683550	0	6	41	0	-5.227172	-2.263689	96141.30378	95796.62308	0.071648	96013.16571	0	0	96152.64167	95999.59771	95914.75089	95944.865	95987.86295
3215683561	0	6	46.5	0	-2.768686	-0.925243	96196.77607	95749.73453	0.081601	96014.51993	0	0	96212.49229	96004.56158	95955.58008	95905.53006	95992.81977
3215683572	0	6	52	0	-5.722659	-1.778893	96128.52984	95801.09044	0.069834	96013.65387	0	0	96138.83664	96019.02127	95929.54963	95915.10698	95965.15338
3215683583	0	6	57.5	0	-4.003229	-0.615401	96189.74254	95707.13731	0.084798	96010.59834	0	0	96205.85581	95977.40839	95891.94884	95889.10674	95993.06981
